company_id,type,rule_id,text,confidence_pct
ABB,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ABB,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75
ABB,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70
ABB,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,96
ABB,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,72
ABB,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ABB,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
ADANIENSOL,con,C01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,71
ADANIENSOL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,73
ADANIENSOL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
ADANIENSOL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73
ADANIENSOL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ADANIENT,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,71
ADANIENT,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
ADANIENT,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,78
ADANIENT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,75
ADANIGREEN,con,C01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,79
ADANIGREEN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,75
ADANIGREEN,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76
ADANIGREEN,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
ADANIPORTS,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
ADANIPORTS,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,81
ADANIPORTS,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
ADANIPOWER,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,70
ADANIPOWER,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95
ADANIPOWER,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
ADANIPOWER,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73
ADANIPOWER,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIPOWER,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
AMBUJACEM,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
AMBUJACEM,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,73
APOLLOHOSP,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80
APOLLOHOSP,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,75
APOLLOHOSP,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,71
APOLLOHOSP,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74
ASIANPAINT,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70
ASIANPAINT,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,99
ASIANPAINT,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,99
ASIANPAINT,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70
ASIANPAINT,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,76
ASIANPAINT,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,70
ASIANPAINT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
ATGL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
ATGL,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
ATGL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,70
ATGL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,73
AXISBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,73
AXISBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,92
AXISBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73
AXISBANK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76
AXISBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76
BAJAJ-AUTO,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,70
BAJAJ-AUTO,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80
BAJAJ-AUTO,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99
BAJAJ-AUTO,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,71
BAJAJFINSV,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,70
BAJAJFINSV,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,70
BAJAJFINSV,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,75
BAJAJFINSV,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
BAJAJFINSV,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74
BAJAJFINSV,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
BAJAJFINSV,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
BAJAJHLDNG,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75
BAJAJHLDNG,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,92
BAJAJHLDNG,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99
BAJAJHLDNG,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,71
BAJAJHLDNG,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
BAJAJHLDNG,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,76
BAJFINANCE,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72
BAJFINANCE,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,83
BAJFINANCE,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73
BAJFINANCE,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71
BAJFINANCE,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73
BAJFINANCE,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99
BAJFINANCE,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74
BANKBARODA,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
BANKBARODA,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,73
BANKBARODA,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,90
BANKBARODA,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
BANKBARODA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74
BANKBARODA,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,88
BANKBARODA,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83
BANKBARODA,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BEL,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,99
BEL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99
BHARTIARTL,con,C01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,71
BHARTIARTL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,79
